YEAR,FIPS,PLACE,GEO_ID,NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M
2014,600212,Acton,6037910205,Census Tract 9102.05,338.0,53.0,380.0,835.0,1151.0,396.0
2014,600212,Acton,6037910804,Census Tract 9108.04,1088.0,86.0,1176.0,464.0,1569.0,769.0
2014,600212,Acton,6037910805,Census Tract 9108.05,772.0,557.0,1530.0,704.0,1951.0,365.0
2014,600212,Acton,6037910812,Census Tract 9108.12,,,,,,
2014,600212,Acton,6037910813,Census Tract 9108.13,588.0,640.0,1087.0,403.0,1218.0,1041.0
2014,600394,Agoura Hills,6037800324,Census Tract 8003.24,1727.0,528.0,2001.0,,2001.0,
2014,600394,Agoura Hills,6037800326,Census Tract 8003.26,1601.0,122.0,1862.0,171.0,2001.0,
2014,600394,Agoura Hills,6037800327,Census Tract 8003.27,1349.0,85.0,1589.0,237.0,2001.0,
2014,600394,Agoura Hills,6037800328,Census Tract 8003.28,1652.0,90.0,1914.0,128.0,2001.0,
2014,600394,Agoura Hills,6037800329,Census Tract 8003.29,1647.0,58.0,1895.0,90.0,2001.0,
2014,600394,Agoura Hills,6037800332,Census Tract 8003.32,1628.0,146.0,1840.0,214.0,2001.0,
2014,600450,Agua Dulce,6037910804,Census Tract 9108.04,1088.0,86.0,1176.0,464.0,1569.0,769.0
2014,600450,Agua Dulce,6037910808,Census Tract 9108.08,1608.0,76.0,1761.0,80.0,1914.0,133.0
2014,600450,Agua Dulce,6037910810,Census Tract 9108.10,545.0,1635.0,1479.0,775.0,1979.0,665.0
2014,600450,Agua Dulce,6037910813,Census Tract 9108.13,588.0,640.0,1087.0,403.0,1218.0,1041.0
2014,600884,Alhambra,6037480302,Census Tract 4803.02,970.0,106.0,1232.0,81.0,1494.0,112.0
2014,600884,Alhambra,6037480303,Census Tract 4803.03,982.0,52.0,1164.0,54.0,1401.0,89.0
2014,600884,Alhambra,6037480304,Census Tract 4803.04,949.0,31.0,1145.0,72.0,1408.0,70.0
2014,600884,Alhambra,6037480400,Census Tract 4804,1020.0,114.0,1201.0,78.0,1478.0,183.0
2014,600884,Alhambra,6037480500,Census Tract 4805,1079.0,77.0,1353.0,119.0,1788.0,165.0
2014,600884,Alhambra,6037480704,Census Tract 4807.04,1112.0,44.0,1330.0,63.0,1646.0,131.0
2014,600884,Alhambra,6037480802,Census Tract 4808.02,741.0,127.0,1073.0,298.0,1393.0,136.0
2014,600884,Alhambra,6037480803,Census Tract 4808.03,824.0,71.0,1024.0,140.0,1300.0,186.0
2014,600884,Alhambra,6037480804,Census Tract 4808.04,986.0,57.0,1216.0,79.0,1498.0,126.0
2014,600884,Alhambra,6037480901,Census Tract 4809.01,947.0,34.0,1092.0,41.0,1244.0,50.0
2014,600884,Alhambra,6037480902,Census Tract 4809.02,928.0,44.0,1081.0,41.0,1227.0,57.0
2014,600884,Alhambra,6037480903,Census Tract 4809.03,892.0,75.0,996.0,92.0,1275.0,130.0
2014,600884,Alhambra,6037481001,Census Tract 4810.01,894.0,56.0,1184.0,147.0,1389.0,45.0
2014,600884,Alhambra,6037481002,Census Tract 4810.02,935.0,36.0,1072.0,53.0,1228.0,70.0
2014,600884,Alhambra,6037481500,Census Tract 4815,915.0,135.0,1200.0,151.0,1452.0,84.0
2014,600884,Alhambra,6037481603,Census Tract 4816.03,982.0,89.0,1181.0,74.0,1498.0,183.0
2014,600884,Alhambra,6037481604,Census Tract 4816.04,960.0,42.0,1120.0,62.0,1340.0,118.0
2014,600884,Alhambra,6037481605,Census Tract 4816.05,922.0,88.0,1134.0,96.0,1463.0,217.0
2014,600884,Alhambra,6037481606,Census Tract 4816.06,982.0,90.0,1150.0,55.0,1373.0,122.0
2014,600884,Alhambra,6037481800,Census Tract 4818,1079.0,336.0,1465.0,289.0,1764.0,138.0
2014,600884,Alhambra,6037481901,Census Tract 4819.01,939.0,101.0,1182.0,103.0,1492.0,215.0
2014,600884,Alhambra,6037481902,Census Tract 4819.02,958.0,66.0,1124.0,66.0,1450.0,392.0
2014,601150,Alondra Park,6037603702,Census Tract 6037.02,1382.0,161.0,1690.0,246.0,2001.0,
2014,601150,Alondra Park,6037603704,Census Tract 6037.04,839.0,37.0,955.0,37.0,1133.0,55.0
2014,601290,Altadena,6037460100,Census Tract 4601,985.0,225.0,1209.0,442.0,1762.0,577.0
2014,601290,Altadena,6037460200,Census Tract 4602,1128.0,225.0,1392.0,122.0,1812.0,320.0
2014,601290,Altadena,6037460301,Census Tract 4603.01,1138.0,334.0,1603.0,400.0,1887.0,171.0
